start_time,end_time,short_ma,long_ma,timeframe,stop_loss,moving_average,total_trades,winning_trades,losing_trades,net_profit,winning_strike,avg_profit,avg_loss,total_brokerage,max_dd_percentage,max_winning_streak,max_losing_streak,days_in_dd,max_drawdown,cagr,exposure,fund_required,tradebook_name
11:30,15:00,21,28,23,20,ema,91,37,54,114550.0,0.69,6245.6,-4986.81,6539.05,4.219,5,7,46,105475.0,4.320438000000015,79.79954354661092,783212.5,./strategy/moving_average/moving_average_NIFTY_1130_1500_21_28_23_20_ematradebook.csv
10:05,15:00,29,36,21,20,ema,113,45,68,-5100.0,0.66,5673.01,-5718.14,6465.97,8.093,3,5,52,202325.0,-0.4626388000000037,67.3137764374857,928487.5,./strategy/moving_average/moving_average_NIFTY_1005_1500_29_36_21_20_ematradebook.csv
10:50,15:00,7,26,23,20,sma,107,47,60,123100.0,0.78,6741.59,-5591.12,6523.54,4.99,5,7,55,124750.0,4.663058400000009,76.95859627520394,812125.0,./strategy/moving_average/moving_average_NIFTY_1050_1500_7_26_23_20_smatradebook.csv
10:00,14:45,5,20,15,20,ema,128,43,85,62875.0,0.51,6276.37,-5785.16,6223.35,8.882,5,6,62,222050.0,2.266065999999989,65.23497638493855,958075.0,./strategy/moving_average/moving_average_NIFTY_1000_1445_5_20_15_20_ematradebook.csv
10:40,14:30,25,34,12,20,ema,115,48,67,222425.0,0.72,6781.3,-4847.17,6687.61,6.005,8,5,51,150125.0,8.629495600000014,73.51319561861354,850187.5,./strategy/moving_average/moving_average_NIFTY_1040_1430_25_34_12_20_ematradebook.csv
09:55,14:30,27,44,11,20,ema,135,52,83,260375.0,0.63,7045.19,-5116.48,6615.23,6.337,6,3,55,158425.0,10.150390799999997,72.4522177623857,862637.5,./strategy/moving_average/moving_average_NIFTY_0955_1430_27_44_11_20_ematradebook.csv
10:25,14:30,27,44,23,20,sma,104,43,61,34825.0,0.7,5475.0,-5140.14,6807.7,4.208,4,5,52,105200.0,1.120692000000001,79.84159427695452,782800.0,./strategy/moving_average/moving_average_NIFTY_1025_1430_27_44_23_20_smatradebook.csv
11:30,14:45,5,16,20,20,ema,94,34,60,100225.0,0.57,6643.62,-5577.39,6654.44,4.437,4,5,60,110925.0,3.742822400000012,78.97521757672442,791387.5,./strategy/moving_average/moving_average_NIFTY_1130_1445_5_16_20_20_ematradebook.csv
09:30,14:30,27,32,26,20,sma,117,49,68,209800.0,0.72,7879.49,-6086.32,6718.32,5.011,6,4,51,125275.0,8.123267200000006,76.884043485615,812912.5,./strategy/moving_average/moving_average_NIFTY_0930_1430_27_32_26_20_smatradebook.csv
11:10,15:00,25,42,26,20,ema,99,43,56,-8325.0,0.77,5611.36,-5695.45,6798.52,5.399,5,5,47,134975.0,-0.6049407999999978,75.53212381225735,827462.5,./strategy/moving_average/moving_average_NIFTY_1110_1500_25_42_26_20_ematradebook.csv
10:35,15:00,15,24,15,20,sma,123,49,74,100700.0,0.66,6743.7,-5925.0,6687.31,6.348,5,4,59,158700.0,3.760507599999996,72.41758878396385,863050.0,./strategy/moving_average/moving_average_NIFTY_1035_1500_15_24_15_20_smatradebook.csv
11:40,14:30,17,34,12,20,ema,104,43,61,90400.0,0.7,5803.61,-4934.38,6641.1,5.277,7,4,57,131925.0,3.350355999999999,75.95205906032112,822887.5,./strategy/moving_average/moving_average_NIFTY_1140_1430_17_34_12_20_ematradebook.csv
09:40,14:30,23,28,20,20,sma,134,65,69,144525.0,0.94,6121.08,-5042.54,6654.67,4.37,6,3,59,109250.0,5.514813200000002,79.22674694977025,788875.0,./strategy/moving_average/moving_average_NIFTY_0940_1430_23_28_20_20_smatradebook.csv
11:45,15:00,19,32,11,20,sma,124,49,75,211800.0,0.65,6166.73,-4458.67,6530.18,4.318,3,3,59,107950.0,8.21079279999999,79.42307081360994,786925.0,./strategy/moving_average/moving_average_NIFTY_1145_1500_19_32_11_20_smatradebook.csv
09:35,14:30,11,26,5,20,ema,200,61,139,189100.0,0.44,5178.38,-4232.88,6815.08,8.226,4,7,74,205650.0,7.291396799999994,66.95412303489648,933475.0,./strategy/moving_average/moving_average_NIFTY_0935_1430_11_26_5_20_ematradebook.csv
10:40,14:45,7,18,16,20,ema,110,40,70,123925.0,0.57,6487.95,-5361.36,6676.25,6.79,4,5,60,169750.0,4.689950000000009,71.05300554213443,879625.0,./strategy/moving_average/moving_average_NIFTY_1040_1445_7_18_16_20_ematradebook.csv
09:55,15:00,11,16,17,20,sma,154,71,83,241400.0,0.86,6309.74,-4742.21,6474.11,8.93,5,8,67,223250.0,9.397035600000002,65.11264487563486,959875.0,./strategy/moving_average/moving_average_NIFTY_0955_1500_11_16_17_20_smatradebook.csv
09:30,15:00,17,22,22,20,sma,139,58,81,193050.0,0.72,7114.03,-5725.18,6720.71,6.373,4,5,61,159325.0,7.453171600000008,72.33900953428146,863987.5,./strategy/moving_average/moving_average_NIFTY_0930_1500_17_22_22_20_smatradebook.csv
09:45,15:00,25,40,11,20,ema,156,53,103,123000.0,0.51,6222.44,-5433.97,6669.3,7.042,4,5,62,176050.0,4.653228000000009,70.29778140201896,889075.0,./strategy/moving_average/moving_average_NIFTY_0945_1500_25_40_11_20_ematradebook.csv
10:50,14:45,9,16,7,20,sma,211,81,130,127650.0,0.62,4376.9,-3771.92,6553.52,6.891,7,10,83,172275.0,4.843859199999989,70.74837632476336,883412.5,./strategy/moving_average/moving_average_NIFTY_1050_1445_9_16_7_20_smatradebook.csv
10:15,15:00,13,26,18,20,sma,128,52,76,72625.0,0.68,6419.14,-5851.76,6564.76,5.99,5,5,61,149750.0,2.642409600000017,73.5618655289098,849625.0,./strategy/moving_average/moving_average_NIFTY_1015_1500_13_26_18_20_smatradebook.csv
09:45,14:45,17,22,10,20,ema,142,51,91,258625.0,0.56,6876.06,-5054.75,6803.61,4.133,4,6,54,103325.0,10.072855599999995,80.12948925463549,779987.5,./strategy/moving_average/moving_average_NIFTY_0945_1445_17_22_10_20_ematradebook.csv
11:45,14:45,7,22,18,20,ema,89,39,50,151225.0,0.78,7191.85,-5492.7,6676.1,4.068,5,4,54,101700.0,5.781955999999999,80.38068291428205,777550.0,./strategy/moving_average/moving_average_NIFTY_1145_1445_7_22_18_20_ematradebook.csv
11:35,14:30,11,30,3,20,sma,196,77,119,190475.0,0.65,3796.94,-2825.13,6544.27,2.999,6,6,74,74975.0,7.357229199999993,84.75007203756122,737462.5,./strategy/moving_average/moving_average_NIFTY_1135_1430_11_30_3_20_smatradebook.csv
