date,pnl,open,high,low,close
2021-01-04,654.0,14100.0,14179.45,13970.05,14173.35
2021-01-05,180.75,14110.2,14227.75,14077.0,14216.05
2021-01-06,-190.5,14249.95,14252.55,14078.1,14174.45
2021-01-07,-78.75,14200.1,14283.0,14175.0,14203.4
2021-01-08,578.25,14281.0,14379.3,14249.0,14375.05
2021-01-11,-891.0,14453.0,14498.65,14400.95,14495.6
2021-01-12,1421.25,14478.0,14624.0,14454.45,14599.9
2021-01-13,-159.75,14653.85,14660.0,14476.0,14595.0
2021-01-14,567.75,14580.0,14643.75,14504.6,14633.5
2021-01-15,448.5,14605.0,14623.55,14375.1,14460.0
2021-01-18,-489.75,14458.5,14458.95,14250.0,14254.05
2021-01-19,833.25,14380.5,14586.3,14364.25,14571.45
2021-01-20,514.5,14581.0,14670.45,14524.1,14633.0
2021-01-25,152.25,14475.0,14497.75,14233.6,14260.0
2021-01-27,102.0,14199.0,14208.0,13933.1,13981.1
2021-01-28,-366.75,13849.95,13896.9,13706.3,13819.45
2021-01-29,-1542.75,13925.0,13984.0,13666.6,13718.0
2021-02-01,3139.5,13785.0,14398.95,13696.55,14395.0
2021-02-02,-489.75,14519.0,14767.25,14480.0,14711.9
2021-02-03,2450.25,14770.0,14903.9,14611.0,14814.05
2021-02-04,1086.0,14765.0,14938.0,14731.0,14888.75
2021-02-05,-747.75,14949.95,15008.0,14866.0,14946.75
2021-02-08,99.75,15068.0,15167.0,15031.0,15138.0
2021-02-09,491.25,15153.0,15266.0,15062.4,15106.2
2021-02-10,157.5,15105.0,15170.0,14984.0,15157.0
2021-02-11,-78.0,15090.0,15201.95,15075.0,15195.5
2021-02-12,-154.5,15172.05,15236.0,15071.05,15161.0
2021-02-15,56.25000000000001,15249.0,15357.0,15240.0,15354.4
2021-02-16,-674.25,15373.95,15430.0,15246.1,15332.0
2021-02-17,246.0,15279.0,15323.85,15165.05,15190.0
2021-02-18,-472.5,15221.1,15255.3,15065.1,15119.9
2021-02-19,-1188.0,15062.2,15145.0,14900.05,15001.15
2021-02-22,-199.5,14982.0,15002.85,14639.75,14642.55
2021-02-23,1686.75,14755.25,14871.0,14662.55,14724.0
