entry_time,exit_time,entry_price,exit_price,pnl,trades_per_day
2021-01-04 10:05:00,2021-01-04 10:20:00,14102.85,14099.65,-3.2,1
2021-01-04 11:55:00,2021-01-04 13:30:00,14057.0,14103.8,46.8,2
2021-01-05 09:30:00,2021-01-05 09:35:00,14097.15,14087.25,-9.9,1
2021-01-05 11:00:00,2021-01-05 13:20:00,14098.35,14120.3,21.95,2
2021-01-06 09:30:00,2021-01-06 10:05:00,14190.2,14196.05,5.85,1
2021-01-06 10:30:00,2021-01-06 10:45:00,14194.55,14202.85,8.3,2
2021-01-06 11:00:00,2021-01-06 11:50:00,14207.95,14194.3,-13.65,3
2021-01-06 12:40:00,2021-01-06 13:20:00,14214.8,14201.6,-13.2,4
2021-01-07 09:30:00,2021-01-07 10:25:00,14220.55,14194.65,-25.9,1
2021-01-07 11:50:00,2021-01-07 12:15:00,14187.45,14194.45,7.0,2
2021-01-07 12:25:00,2021-01-07 13:30:00,14194.65,14208.3,13.65,3
2021-01-08 09:30:00,2021-01-08 11:35:00,14245.85,14281.3,35.45,1
2021-01-08 11:50:00,2021-01-08 13:30:00,14285.6,14288.7,3.1,2
2021-01-11 09:30:00,2021-01-11 10:30:00,14440.2,14389.9,-50.3,1
2021-01-11 11:15:00,2021-01-11 11:50:00,14429.85,14409.5,-20.35,2
2021-01-11 12:35:00,2021-01-11 13:10:00,14425.35,14415.4,-9.95,3
2021-01-11 13:15:00,2021-01-11 13:30:00,14422.9,14444.1,21.2,4
2021-01-12 09:30:00,2021-01-12 10:00:00,14460.0,14451.7,-8.3,1
2021-01-12 11:00:00,2021-01-12 13:30:00,14449.8,14552.85,103.05,2
2021-01-13 09:30:00,2021-01-13 10:30:00,14605.8,14617.4,11.6,1
2021-01-13 12:50:00,2021-01-13 13:30:00,14593.75,14571.5,-22.25,2
2021-01-14 09:30:00,2021-01-14 09:35:00,14512.95,14507.95,-5.0,1
2021-01-14 10:35:00,2021-01-14 12:20:00,14530.85,14571.95,41.1,2
2021-01-14 12:40:00,2021-01-14 13:15:00,14575.1,14576.85,1.75,3
2021-01-15 12:10:00,2021-01-15 13:30:00,14501.0,14530.9,29.9,1
2021-01-18 11:20:00,2021-01-18 11:40:00,14329.15,14311.65,-17.5,1
2021-01-18 11:45:00,2021-01-18 11:55:00,14287.15,14302.95,15.8,2
2021-01-18 12:40:00,2021-01-18 13:30:00,14308.45,14277.5,-30.95,3
2021-01-19 09:30:00,2021-01-19 11:35:00,14394.45,14454.3,59.85,1
2021-01-19 12:00:00,2021-01-19 12:55:00,14476.4,14472.15,-4.25,2
2021-01-19 13:05:00,2021-01-19 13:30:00,14492.3,14492.25,-0.05,3
2021-01-20 10:25:00,2021-01-20 11:55:00,14575.45,14606.9,31.45,1
2021-01-20 13:15:00,2021-01-20 13:30:00,14610.5,14613.35,2.85,2
2021-01-25 10:35:00,2021-01-25 10:40:00,14423.25,14407.6,-15.65,1
2021-01-25 10:45:00,2021-01-25 11:20:00,14367.6,14371.7,4.1,2
2021-01-25 12:40:00,2021-01-25 12:45:00,14397.1,14392.8,-4.3,3
2021-01-25 12:50:00,2021-01-25 13:30:00,14376.25,14402.25,26.0,4
2021-01-27 11:20:00,2021-01-27 11:35:00,14155.45,14155.85,0.4,1
2021-01-27 11:40:00,2021-01-27 11:45:00,14118.2,14120.65,2.45,2
2021-01-27 11:50:00,2021-01-27 11:55:00,14105.7,14109.65,3.95,3
2021-01-28 10:20:00,2021-01-28 10:25:00,13880.65,13854.1,-26.55,1
2021-01-28 10:30:00,2021-01-28 10:35:00,13831.6,13843.6,12.0,2
2021-01-28 11:30:00,2021-01-28 11:50:00,13839.35,13829.45,-9.9,3
2021-01-29 09:30:00,2021-01-29 09:35:00,13908.25,13869.2,-39.05,1
2021-01-29 09:40:00,2021-01-29 10:20:00,13870.1,13867.85,-2.25,2
2021-01-29 11:25:00,2021-01-29 11:40:00,13865.9,13832.85,-33.05,3
2021-01-29 11:45:00,2021-01-29 11:55:00,13815.85,13825.2,9.35,4
2021-01-29 12:50:00,2021-01-29 13:15:00,13813.85,13776.0,-37.85,5
2021-02-01 09:50:00,2021-02-01 12:35:00,13694.8,13859.7,164.9,1
2021-02-01 13:00:00,2021-02-01 13:10:00,14105.15,14050.7,-54.45,2
2021-02-01 13:15:00,2021-02-01 13:30:00,14062.85,14161.7,98.85,3
2021-02-02 09:30:00,2021-02-02 10:35:00,14631.05,14606.3,-24.75,1
2021-02-02 11:30:00,2021-02-02 11:45:00,14606.55,14541.3,-65.25,2
2021-02-02 11:50:00,2021-02-02 11:55:00,14527.5,14547.9,20.4,3
2021-02-02 12:35:00,2021-02-02 13:30:00,14579.1,14616.05,36.95,4
2021-02-03 09:35:00,2021-02-03 13:30:00,14684.05,14847.4,163.35,1
2021-02-04 11:05:00,2021-02-04 13:20:00,14770.6,14843.0,72.4,1
2021-02-05 09:30:00,2021-02-05 10:20:00,14955.2,14924.0,-31.2,1
2021-02-05 11:35:00,2021-02-05 12:40:00,14963.4,14944.75,-18.65,2
2021-02-08 09:30:00,2021-02-08 11:30:00,15095.55,15102.65,7.1,1
2021-02-08 13:10:00,2021-02-08 13:30:00,15106.55,15106.1,-0.45,2
2021-02-09 09:30:00,2021-02-09 10:25:00,15157.2,15156.6,-0.6,1
2021-02-09 10:30:00,2021-02-09 12:15:00,15175.4,15207.7,32.3,2
2021-02-09 12:55:00,2021-02-09 13:30:00,15224.1,15225.15,1.05,3
2021-02-10 09:50:00,2021-02-10 09:55:00,15125.2,15125.05,-0.15,1
2021-02-10 10:00:00,2021-02-10 10:05:00,15092.0,15086.6,-5.4,2
2021-02-10 11:20:00,2021-02-10 12:55:00,15065.3,15081.35,16.05,3
2021-02-11 09:30:00,2021-02-11 10:55:00,15098.55,15148.55,50.0,1
2021-02-11 11:00:00,2021-02-11 11:10:00,15144.55,15136.05,-8.5,2
2021-02-11 12:35:00,2021-02-11 12:55:00,15154.25,15120.75,-33.5,3
2021-02-11 13:00:00,2021-02-11 13:20:00,15128.2,15115.0,-13.2,4
2021-02-12 09:30:00,2021-02-12 10:05:00,15181.6,15179.55,-2.05,1
2021-02-12 10:30:00,2021-02-12 10:35:00,15186.55,15192.45,5.9,2
2021-02-12 10:45:00,2021-02-12 11:55:00,15218.0,15209.45,-8.55,3
2021-02-12 13:00:00,2021-02-12 13:30:00,15217.7,15212.1,-5.6,4
2021-02-15 09:30:00,2021-02-15 09:45:00,15295.55,15275.55,-20.0,1
2021-02-15 09:50:00,2021-02-15 10:25:00,15278.0,15284.85,6.85,2
2021-02-15 10:35:00,2021-02-15 12:00:00,15292.1,15306.4,14.3,3
2021-02-15 12:10:00,2021-02-15 12:15:00,15294.8,15301.5,6.7,4
2021-02-15 12:50:00,2021-02-15 13:30:00,15301.5,15297.4,-4.1,5
2021-02-16 09:30:00,2021-02-16 09:50:00,15414.95,15412.45,-2.5,1
2021-02-16 09:55:00,2021-02-16 10:20:00,15399.8,15395.15,-4.65,2
2021-02-16 10:50:00,2021-02-16 11:10:00,15414.65,15394.9,-19.75,3
2021-02-16 11:15:00,2021-02-16 11:25:00,15386.5,15368.45,-18.05,4
2021-02-17 10:40:00,2021-02-17 12:05:00,15233.05,15288.0,54.95,1
2021-02-17 12:25:00,2021-02-17 12:50:00,15297.2,15284.3,-12.9,2
2021-02-17 12:55:00,2021-02-17 13:00:00,15259.5,15233.85,-25.65,3
2021-02-18 09:55:00,2021-02-18 10:25:00,15212.05,15227.25,15.2,1
2021-02-18 10:30:00,2021-02-18 11:15:00,15237.15,15216.1,-21.05,2
2021-02-18 13:25:00,2021-02-18 13:30:00,15109.05,15083.4,-25.65,3
2021-02-19 10:15:00,2021-02-19 10:50:00,15111.35,15100.6,-10.75,1
2021-02-19 10:55:00,2021-02-19 11:15:00,15072.5,15055.05,-17.45,2
2021-02-19 11:55:00,2021-02-19 12:30:00,15093.8,15067.8,-26.0,3
2021-02-19 13:25:00,2021-02-19 13:30:00,15064.1,15039.1,-25.0,4
2021-02-22 09:30:00,2021-02-22 09:35:00,14989.65,14991.75,2.1,1
2021-02-22 09:40:00,2021-02-22 09:50:00,14983.1,14967.7,-15.4,2
2021-02-23 09:50:00,2021-02-23 11:30:00,14676.3,14800.15,123.85,1
2021-02-23 13:15:00,2021-02-23 13:20:00,14799.35,14758.1,-41.25,2
2021-02-23 13:25:00,2021-02-23 13:30:00,14762.8,14792.65,29.85,3
2021-02-24 09:30:00,2021-02-24 11:00:00,14764.25,14790.9,26.65,1
2021-02-24 11:20:00,2021-02-24 11:35:00,14817.75,14795.1,-22.65,2
2021-02-24 11:40:00,2021-02-24 12:00:00,14753.45,,,3
2021-02-25 10:05:00,2021-02-25 10:10:00,15143.6,15132.6,-11.0,1
2021-02-25 11:05:00,2021-02-25 11:35:00,15142.0,15119.5,-22.5,2
2021-02-25 12:45:00,2021-02-25 13:30:00,15121.2,15135.25,14.05,3
2021-02-26 13:25:00,2021-02-26 13:30:00,14617.55,14594.85,-22.7,1
2021-03-01 09:40:00,2021-03-01 11:30:00,14737.9,14742.85,4.95,1
2021-03-01 13:15:00,2021-03-01 13:30:00,14750.7,14768.9,18.2,2
2021-03-02 09:30:00,2021-03-02 10:55:00,14895.6,14857.05,-38.55,1
2021-03-02 12:10:00,2021-03-02 12:40:00,14816.95,14828.15,11.2,2
2021-03-03 09:30:00,2021-03-03 13:30:00,15041.5,15144.5,103.0,1
2021-03-04 10:35:00,2021-03-04 13:30:00,15073.05,15157.85,84.8,1
2021-03-05 10:15:00,2021-03-05 10:25:00,15040.65,14998.1,-42.55,1
2021-03-05 10:30:00,2021-03-05 10:45:00,15007.45,14987.1,-20.35,2
2021-03-05 11:40:00,2021-03-05 12:05:00,15021.75,14982.95,-38.8,3
2021-03-05 12:10:00,2021-03-05 12:20:00,14991.9,15009.2,17.3,4
2021-03-05 12:45:00,2021-03-05 13:25:00,15022.35,15008.9,-13.45,5
2021-03-08 09:30:00,2021-03-08 10:40:00,15042.8,15051.8,9.0,1
2021-03-08 10:45:00,2021-03-08 10:50:00,14974.7,14997.7,23.0,2
2021-03-08 11:40:00,2021-03-08 12:15:00,15035.55,15013.65,-21.9,3
2021-03-09 09:30:00,2021-03-09 09:45:00,15102.5,15089.4,-13.1,1
2021-03-09 09:50:00,2021-03-09 10:25:00,15061.9,15064.95,3.05,2
2021-03-09 11:30:00,2021-03-09 12:20:00,15076.15,15041.45,-34.7,3
2021-03-10 09:30:00,2021-03-10 10:25:00,15183.35,15180.1,-3.25,1
2021-03-10 10:30:00,2021-03-10 10:40:00,15164.15,15160.8,-3.35,2
2021-03-10 12:55:00,2021-03-10 13:30:00,15156.1,15157.35,1.25,3
2021-03-12 09:30:00,2021-03-12 10:25:00,15319.25,15292.65,-26.6,1
2021-03-12 11:55:00,2021-03-12 12:20:00,15291.85,15268.05,-23.8,2
2021-03-15 10:35:00,2021-03-15 11:00:00,14875.45,14840.85,-34.6,1
2021-03-15 12:05:00,2021-03-15 12:30:00,14843.75,14807.45,-36.3,2
2021-03-15 12:35:00,2021-03-15 12:45:00,14790.0,14785.65,-4.35,3
2021-03-16 09:30:00,2021-03-16 10:25:00,14985.6,15000.25,14.65,1
2021-03-16 10:30:00,2021-03-16 11:25:00,15047.35,15019.35,-28.0,2
2021-03-16 12:30:00,2021-03-16 12:55:00,14989.4,15002.75,13.35,3
2021-03-16 13:00:00,2021-03-16 13:05:00,14992.1,15016.8,24.7,4
