"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"MOQUALITY","Motilal Oswal S&P BSE Quality ETF","196.51","203.70","194.80","196.51","203.70","-","7.19","3.66","4,879","0.10","196.13","222.70","136.73",-8.18,"09-Nov-2023","42.93","09-Oct-2024"
"MOLOWVOL","Nifty Midcap 100 TRI","36.51","38.30","36.51","37.25","38.30","-","1.05","2.82","12,411","0.05","37.17","41.85","28.23",-6.11,"09-Nov-2023","28.31","09-Oct-2024"
"MASPTOP50","S&P 500 Top 50 Total Return Index","48.47","49.50","47.95","48.01","49.36","-","1.35","2.81","3,06,427","1.50","46.92","52.89","32.01",11.49,"09-Nov-2023","49.91","09-Oct-2024"
"BSLGOLDETF","Gold","68.11","69.27","68.11","67.82","68.98","-","1.16","1.71","61,034","0.42","68.21","78.00","53.53",3.7,"09-Nov-2023","27.99","09-Oct-2024"
"LOWVOL1","Kotak Nifty 100 Low Vol 30 ETF","20.79","20.79","20.13","20.38","20.72","-","0.34","1.67","10,03,299","2.03","20.31","23.41","15.35",-4.38,"-","-","09-Oct-2024"
"NIF10GETF","UTI Nifty 10 yr Benchmark G-Sec ETF","24.55","24.55","24.10","24.12","24.50","-","0.38","1.58","677","-","24.23","27.30","21.60",1.08,"-","-","09-Oct-2024"
"NIFTYBETF","Bajaj Finserv Nifty 50 ETF","244.55","248.33","243.21","244.60","248.33","-","3.73","1.52","2,545","0.06","244.20","273.52","215.04",-2.37,"-","-","09-Oct-2024"
"MON100","Nasdaq100","172.89","175.50","172.89","172.12","174.70","-","2.58","1.50","6,53,844","11.42","173.77","177.90","120.61",6.67,"09-Nov-2023","41.40","09-Oct-2024"
"MAFANG","NYSE FANG+ Total Return Index","103.01","105.95","103.01","103.01","104.51","-","1.50","1.46","8,50,446","8.93","104.07","105.95","63.32",9.85,"09-Nov-2023","63.07","09-Oct-2024"
"SILVRETF","Mirae Asset Silver ETF","90.21","91.99","89.50","89.49","90.80","-","1.31","1.46","46,343","0.42","89.51","98.00","68.43",3.56,"09-Nov-2023","28.90","09-Oct-2024"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","89.02","89.75","88.63","87.99","89.24","-","1.25","1.42","80,58,865","71.97","88.16","100.00","67.00",3.24,"09-Nov-2023","28.76","09-Oct-2024"
"AXISGOLD","Gold","65.66","65.66","65.16","64.54","65.45","-","0.91","1.41","1,48,211","0.97","64.82","69.05","50.83",3.32,"09-Nov-2023","27.73","09-Oct-2024"
"LICMFGOLD","Gold","7,039.75","7,100.00","7,000.05","6,969.40","7,059.00","-","89.60","1.29","371","0.26","-","7,585.95","5,451.00",3.15,"09-Nov-2023","27.77","09-Oct-2024"
"IVZINGOLD","Gold","6,891.00","6,891.00","6,810.25","6,743.00","6,830.00","-","87.00","1.29","93","0.06","6,759.06","7,200.00","5,302.25",3.52,"09-Nov-2023","28.26","09-Oct-2024"
"TATSILV","Tata Silver Exchange Traded Fund","9.10","9.11","8.95","8.92","9.03","-","0.11","1.23","24,60,033","2.22","8.90","10.32","6.74",3.2,"-","-","09-Oct-2024"
"HNGSNGBEES","Hang Seng Index","365.10","375.35","350.67","361.59","366.00","-","4.41","1.22","8,03,993","29.49","324.73","421.38","205.00",-0.33,"09-Nov-2023","39.41","09-Oct-2024"
"SBISILVER","SBI SILVER ETF","90.97","91.97","90.79","90.16","91.25","-","1.09","1.21","1,23,459","1.13","90.14","101.40","79.07",3.45,"-","-","09-Oct-2024"
"HDFCSILVER","HDFC Silver ETF","88.97","90.00","88.72","88.31","89.37","-","1.06","1.20","10,15,838","9.08","87.97","100.35","67.85",3.21,"09-Nov-2023","28.91","09-Oct-2024"
"SILVERADD","DSP Silver ETF","95.61","95.61","89.02","88.50","89.55","-","1.05","1.19","38,428","0.35","88.46","98.60","67.60",3.63,"-","-","09-Oct-2024"
"SILVER1","Kotak Silver ETF","89.97","91.30","89.57","89.15","90.20","-","1.05","1.18","1,31,397","1.19","89.10","111.00","68.66",3.42,"-","-","09-Oct-2024"
"SILVERETF","UTI Silver Exchange Traded Fund (UTI Silver ETF)","89.96","91.00","89.63","89.19","90.23","-","1.04","1.17","1,72,202","1.56","89.51","98.50","69.00",3.25,"09-Nov-2023","28.32","09-Oct-2024"
"GOLDCASE","Zerodha Gold ETF","12.31","12.54","12.27","12.21","12.35","-","0.14","1.15","4,99,239","0.62","12.23","13.88","10.00",3.44,"-","-","09-Oct-2024"
"ESILVER","Edelweiss Silver ETF","92.97","95.27","92.40","92.20","93.25","-","1.05","1.14","1,61,165","1.50","92.05","100.80","70.71",3.28,"-","-","09-Oct-2024"
"HDFCPVTBAN","HDFC NIFTY Private Bank ETF","25.88","25.89","25.50","25.60","25.89","-","0.29","1.13","1,64,804","0.42","25.57","28.47","22.59",0.12,"09-Nov-2023","-88.79","09-Oct-2024"
"MONQ50","Nasdaq Q-50 Total Return Index","69.50","70.48","68.51","68.60","69.35","-","0.75","1.09","1,73,488","1.20","70.66","92.65","51.90",9.24,"09-Nov-2023","30.88","09-Oct-2024"
"SETFGOLD","Gold","67.30","67.30","66.61","66.22","66.92","-","0.70","1.06","20,26,867","13.56","66.39","70.80","52.37",3.13,"09-Nov-2023","27.53","09-Oct-2024"
"AXISILVER","Axis Silver ETF","92.01","94.00","91.50","91.49","92.45","-","0.96","1.05","64,964","0.60","91.36","103.18","70.25",3.12,"09-Nov-2023","28.52","09-Oct-2024"
"GOLD1","Gold","65.21","66.50","65.21","64.81","65.49","-","0.68","1.05","2,64,560","1.73","64.87","68.45","51.16",3.26,"-","-","09-Oct-2024"
"GOLDBEES","Gold","64.53","65.49","64.53","64.33","64.99","-","0.66","1.03","1,35,72,558","88.33","64.48","67.58","50.72",3.14,"09-Nov-2023","27.60","09-Oct-2024"
"QGOLDHALF","Gold","65.18","65.19","64.45","64.18","64.82","-","0.64","1.00","70,999","0.46","64.10","68.37","50.62",3.26,"09-Nov-2023","27.89","09-Oct-2024"
"NIFITETF","UTI Nifty IT ETF","424.63","429.40","424.63","424.48","428.70","-","4.22","0.99","536","0.02","423.80","450.00","321.68",-1.03,"-","-","09-Oct-2024"
"BBNPPGOLD","Baroda BNP Paribas Gold ETF","76.05","76.50","75.95","75.60","76.35","-","0.75","0.99","63","-","75.55","80.00","54.00",3.18,"-","-","09-Oct-2024"
"GROWWGOLD","Commodity","77.45","77.65","76.72","76.43","77.18","-","0.75","0.98","1,97,837","1.53","76.54","86.00","75.65","-","-","-","-"
"EGOLD","Edelweiss Gold ETF","78.75","78.95","78.50","78.05","78.80","-","0.75","0.96","1,16,374","0.92","78.04","84.50","53.10",3.28,"-","-","09-Oct-2024"
"SILVER","Physical price of Silver","92.44","93.94","92.10","91.62","92.50","-","0.88","0.96","1,94,100","1.80","91.53","103.00","70.00",2.94,"09-Nov-2023","28.86","09-Oct-2024"
"HEALTHY","Nifty Healthcare TRI","14.76","14.90","14.68","14.76","14.90","-","0.14","0.95","1,82,721","0.27","14.76","15.75","8.88",-2.88,"09-Nov-2023","49.40","09-Oct-2024"
"HDFCGOLD","Gold","67.16","67.19","66.67","66.22","66.84","-","0.62","0.94","18,50,819","12.39","66.32","71.09","52.42",3,"09-Nov-2023","27.33","09-Oct-2024"
"HDFCNIF100","HDFC NIFTY 100 ETF","25.69","25.94","25.43","25.69","25.93","-","0.24","0.93","1,21,182","0.31","25.59","29.10","19.30",-3.98,"09-Nov-2023","30.24","09-Oct-2024"
"TATAGOLD","Tata Gold Exchange Traded Fund","7.62","7.70","7.57","7.57","7.64","-","0.07","0.92","46,05,930","3.51","7.54","8.64","6.00",3.25,"-","-","09-Oct-2024"
"GOLDIETF","Gold","67.19","67.26","66.77","66.43","67.04","-","0.61","0.92","22,19,069","14.86","66.43","70.10","52.75",3.22,"-","-","09-Oct-2024"
"GSEC10YEAR","Mirae Asset Nifty 8-13 yr G-Sec ETF","27.29","27.29","27.06","27.04","27.28","-","0.24","0.89","834","-","27.24","29.80","23.69",-0.4,"07-Nov-2023","8.28","09-Oct-2024"
"LOWVOLIETF","Nifty 100 Low Volatility 30 Index","21.88","21.88","21.37","21.49","21.68","-","0.19","0.88","1,48,25,320","31.74","21.44","24.40","17.41",-5,"-","-","09-Oct-2024"
"SBIETFCON","Nifty India Consumption Index","118.87","118.87","115.68","117.08","118.10","-","1.02","0.87","7,438","0.09","116.83","136.00","86.23",-7.89,"09-Nov-2023","34.38","09-Oct-2024"
"SILVERIETF","Domestic Price of Silver","92.00","93.20","91.99","91.72","92.50","-","0.78","0.85","16,85,822","15.61","91.48","101.00","68.65",3.13,"-","-","09-Oct-2024"
"ITIETF","Nifty IT Index","45.79","45.79","44.93","44.79","45.17","-","0.38","0.85","13,87,580","6.31","44.82","47.15","28.20",-0.46,"-","-","09-Oct-2024"
"CONS","Kotak Nifty India Consumption ETF","116.49","117.45","115.80","116.46","117.45","-","0.99","0.85","5,080","0.06","116.07","155.70","85.90",-8.45,"-","-","09-Oct-2024"
"GOLDETF","Mirae Asset Gold ETF","76.47","76.47","75.95","75.64","76.25","-","0.61","0.81","1,95,448","1.49","75.62","82.00","59.90",3.07,"09-Nov-2023","27.09","09-Oct-2024"
"SBIETFPB","Nifty Private Bank Index","255.67","263.00","254.55","256.97","259.00","-","2.03","0.79","4,834","0.12","256.33","277.20","226.25",-0.57,"09-Nov-2023","11.47","09-Oct-2024"
"GOLDETFADD","DSP Gold ETF","75.79","76.47","75.79","75.43","76.00","-","0.57","0.76","42,063","0.32","75.53","80.75","59.20",3.56,"-","-","09-Oct-2024"
"MOMENTUM","Aditya Birla Sun Life Nifty 200 Momentum 30 ETF","35.16","35.48","34.77","35.16","35.40","-","0.24","0.68","1,14,851","0.40","35.09","39.57","23.34",-7.38,"09-Nov-2023","47.76","09-Oct-2024"
"AUTOBEES","Nifty Auto TRI","236.10","246.10","236.10","243.38","245.00","-","1.62","0.67","1,34,155","3.26","242.96","285.00","163.90",-10.01,"09-Nov-2023","46.64","09-Oct-2024"
"TECH","Nifty IT TRI Index","44.42","44.42","43.61","43.87","44.16","-","0.29","0.66","21,726","0.10","43.81","49.00","31.08",-0.85,"09-Nov-2023","38.74","09-Oct-2024"
"SENSEXIETF","SENSEX","899.05","904.90","894.01","899.05","904.90","-","5.85","0.65","3,654","0.33","897.03","980.00","720.00",-2.39,"-","-","09-Oct-2024"
"HDFCGROWTH","HDFC NIFTY Growth Sectors 15 ETF","123.74","123.75","120.51","121.38","122.13","-","0.75","0.62","6,761","0.08","121.00","147.00","97.95",-5.45,"09-Nov-2023","23.64","09-Oct-2024"
"GOLDSHARE","Gold","65.80","66.25","65.40","65.05","65.45","-","0.40","0.61","2,91,394","1.91","65.06","68.85","51.00",3.23,"09-Nov-2023","28.38","09-Oct-2024"
"ALPL30IETF","Nifty Alpha Low-Volatility 30 Index","29.45","29.45","28.80","29.05","29.20","-","0.15","0.52","55,67,397","16.16","29.00","32.67","20.70",-6.77,"-","-","09-Oct-2024"
"ITETFADD","DSP Nifty IT ETF","42.68","43.37","42.68","42.68","42.88","-","0.20","0.47","8,193","0.04","42.71","46.32","30.68",-1.04,"-","-","09-Oct-2024"
"SBIETFIT","Nifty IT Index","452.47","453.96","446.77","447.94","450.00","-","2.06","0.46","5,960","0.27","447.96","473.25","320.16",-0.76,"09-Nov-2023","38.79","09-Oct-2024"
"MOHEALTH","Motilal Oswal S&P BSE Healthcare ETF","44.96","44.96","43.61","44.55","44.75","-","0.20","0.45","50,652","0.23","44.49","46.50","28.24",-1.44,"09-Nov-2023","53.84","09-Oct-2024"
