"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 09-Nov-2023"
"NIFTY TOTAL MARKET","12,879.70","12,897.10","12,749.90","12,870.45","12,775.30","-","-95.15","-0.74","2,11,59,15,925","84,218.03","13,842.60","7,145.35","-3.95","32.06"
"ITI","273.95","317.00","273.00","266.49","296.70","-","30.21","11.34","9,03,86,249","2,683.93","384.30","210.00","23.70","16.26"
"AVALON","700.00","849.10","695.20","707.60","785.00","-","77.40","10.94","88,95,679","704.73","849.10","425.00","38.15","63.00"
"VIJAYA","1,025.00","1,138.65","1,001.05","1,025.20","1,125.00","-","99.80","9.73","24,34,955","268.46","1,138.65","568.60","13.61","89.45"
"IMFA","733.25","799.50","722.40","722.40","779.90","-","57.50","7.96","22,14,339","172.52","880.00","431.10","14.24","79.28"
"INDHOTEL","710.00","742.85","693.65","683.80","730.95","-","47.15","6.90","2,63,57,564","1,906.05","742.85","399.00","5.66","80.76"
"PAYTM","796.00","855.10","788.80","795.85","848.10","-","52.25","6.57","2,22,66,898","1,852.72","926.95","310.00","14.48","-5.14"
"PAGEIND","44,850.00","48,333.00","44,800.20","45,064.10","47,823.20","-","2,759.10","6.12","1,75,762","834.39","48,333.00","33,070.05","9.26","27.37"
"MOTILALOFS","942.00","1,025.00","917.70","934.05","991.00","-","56.95","6.10","1,12,38,697","1,121.10","1,064.00","251.26","26.98","-3.32"
"AGI","962.20","991.00","919.50","929.30","977.80","-","48.50","5.22","6,53,517","62.81","1,066.55","610.40","5.45","1.14"
"INOXINDIA","1,178.00","1,213.60","1,156.65","1,130.85","1,188.00","-","57.15","5.05","11,15,394","132.67","1,506.90","801.55","3.53","-"
"DODLA","1,175.00","1,238.50","1,151.15","1,156.50","1,206.90","-","50.40","4.36","5,57,860","65.60","1,346.10","724.80","2.60","63.89"
"LATENTVIEW","466.00","510.00","459.25","467.35","487.15","-","19.80","4.24","36,42,213","181.03","575.00","407.40","5.52","20.92"
"ACE","1,322.95","1,406.00","1,290.10","1,320.55","1,375.00","-","54.45","4.12","6,30,408","85.64","1,695.00","780.00","0.89","69.41"
"NRBBEARING","296.00","306.55","286.90","277.55","287.00","-","9.45","3.40","28,28,992","84.00","401.55","242.60","1.93","10.16"
"PGEL","670.05","695.00","658.55","668.80","690.00","-","21.20","3.17","16,83,633","115.10","695.00","146.71","11.37","-66.32"
"STLTECH","124.00","130.75","121.89","122.13","125.99","-","3.86","3.16","1,02,45,806","131.25","162.90","109.50","2.44","-7.64"
"JLHL","1,391.35","1,434.20","1,375.90","1,385.90","1,428.85","-","42.95","3.10","35,263","4.97","1,653.95","992.50","2.23","39.92"
"ASHOKLEY","215.90","222.70","210.52","215.90","221.93","-","6.03","2.79","2,10,20,914","457.98","264.65","157.55","0.03","30.22"
"CARTRADE","1,205.00","1,277.55","1,198.30","1,204.90","1,235.00","-","30.10","2.50","4,35,369","54.29","1,277.55","623.90","38.40","69.98"
"M&M","2,910.00","2,990.95","2,851.25","2,891.35","2,960.60","-","69.25","2.40","44,55,563","1,306.39","3,222.10","1,474.00","-5.65","91.68"
"CUMMINSIND","3,600.95","3,691.95","3,478.50","3,554.55","3,638.00","-","83.45","2.35","22,59,037","809.25","4,171.90","1,692.00","-2.83","108.82"
"LEMONTREE","119.39","122.87","117.28","118.41","121.18","-","2.77","2.34","88,87,370","107.15","158.00","111.80","0.50","4.41"
"CROMPTON","389.75","401.00","386.60","389.95","398.40","-","8.45","2.17","14,17,494","56.01","484.00","261.25","-8.69","41.62"
"WOCKPHARMA","1,202.45","1,266.65","1,180.00","1,206.35","1,232.30","-","25.95","2.15","8,47,659","104.67","1,334.65","237.10","28.50","415.66"
"WONDERLA","831.00","855.00","822.50","831.15","848.55","-","17.40","2.09","57,480","4.86","1,105.90","770.05","-6.87","-5.06"
"TITAN","3,121.00","3,192.90","3,106.00","3,120.85","3,183.00","-","62.15","1.99","17,19,882","542.59","3,886.95","3,055.65","-8.79","-2.97"
"GOCOLORS","1,209.90","1,230.60","1,190.70","1,194.35","1,218.00","-","23.65","1.98","96,126","11.61","1,407.80","933.30","-5.84","-2.10"
"CHEMPLASTS","483.40","498.00","478.95","485.05","494.00","-","8.95","1.85","2,35,056","11.55","633.90","402.80","-0.98","11.78"
"EDELWEISS","108.48","112.95","105.40","108.48","110.40","-","1.92","1.77","50,75,072","55.25","145.53","59.41","-5.29","85.49"
"KIRLPNU","1,649.90","1,683.85","1,608.15","1,627.30","1,655.75","-","28.45","1.75","1,86,407","30.78","1,734.85","545.50","27.03","198.34"
"CSBBANK","308.00","315.50","305.90","308.95","314.00","-","5.05","1.63","1,37,404","4.29","422.25","292.05","-0.71","-8.47"
"JUBLFOOD","596.35","608.90","594.45","596.35","605.95","-","9.60","1.61","24,99,471","150.74","715.45","421.05","-3.49","20.07"
"NH","1,271.05","1,298.00","1,258.00","1,271.05","1,291.50","-","20.45","1.61","2,81,386","36.10","1,444.90","1,044.00","5.62","21.78"
"LANDMARK","654.70","655.00","631.65","636.80","647.00","-","10.20","1.60","30,943","2.00","905.00","541.20","1.60","-5.24"
"TECHM","1,660.00","1,686.45","1,650.05","1,651.00","1,677.00","-","26.00","1.57","18,83,257","316.34","1,761.85","1,117.20","1.36","49.59"
"GRANULES","572.15","590.50","563.00","572.10","580.90","-","8.80","1.54","35,34,450","204.87","721.00","353.40","1.89","57.93"
"IGL","436.95","445.20","433.55","436.80","443.50","-","6.70","1.53","34,33,842","151.00","570.35","382.65","-16.93","11.97"
"CONCORDBIO","1,827.70","1,867.10","1,804.50","1,827.70","1,855.00","-","27.30","1.49","43,172","7.95","2,664.00","1,196.25","-5.06","34.26"
"TBOTEK","1,740.00","1,771.00","1,692.00","1,680.15","1,704.00","-","23.85","1.42","2,71,374","47.19","2,001.00","1,231.65","-2.29","-"
"NESTLEIND","2,270.00","2,298.00","2,258.80","2,262.85","2,294.15","-","31.30","1.38","8,34,995","190.73","2,778.00","2,216.00","-8.76","-90.52"
"ERIS","1,305.75","1,320.00","1,287.30","1,302.35","1,319.90","-","17.55","1.35","25,878","3.37","1,522.05","809.15","-8.21","43.19"
"KIMS","563.95","574.45","556.05","564.40","571.90","-","7.50","1.33","4,55,588","25.91","584.00","350.00","6.58","-69.82"
"HFCL","125.39","131.25","123.30","124.93","126.56","-","1.63","1.30","3,13,58,773","402.77","171.00","65.05","-8.95","93.42"
"INFY","1,818.00","1,840.60","1,813.15","1,803.05","1,825.95","-","22.90","1.27","42,10,960","771.54","1,991.45","1,358.35","-6.29","33.11"
"HIKAL","381.80","395.35","375.95","381.80","386.55","-","4.75","1.24","8,55,657","33.23","410.90","260.30","13.26","41.35"
"360ONE","1,046.00","1,061.30","1,023.95","1,036.15","1,049.00","-","12.85","1.24","3,59,739","37.63","1,215.00","526.95","3.61","91.78"
"LLOYDSME","993.75","1,021.70","981.05","995.75","1,008.00","-","12.25","1.23","4,18,618","42.25","1,040.00","517.85","2.31","88.79"
"HINDUNILVR","2,483.95","2,515.25","2,467.30","2,475.50","2,505.00","-","29.50","1.19","17,00,877","424.59","3,035.00","2,172.05","-9.43","1.25"
"DELTACORP","118.50","122.32","116.51","118.50","119.90","-","1.40","1.18","20,78,839","24.90","159.80","104.45","-3.49","-13.91"
"PRUDENT","2,958.90","3,014.70","2,900.75","2,938.55","2,973.00","-","34.45","1.17","47,664","14.14","3,735.20","1,121.80","14.69","151.62"
"KIRLOSENG","1,181.00","1,209.00","1,157.75","1,171.30","1,185.00","-","13.70","1.17","1,02,440","12.08","1,450.00","526.35","2.64","114.58"
"KPRMILL","932.20","951.30","925.00","924.55","935.00","-","10.45","1.13","3,18,307","29.83","1,053.00","710.00","-1.22","18.88"
"ISGEC","1,360.00","1,379.90","1,348.80","1,359.85","1,375.00","-","15.15","1.11","26,514","3.64","1,591.25","722.65","3.78","84.72"
"CHALET","884.95","908.00","876.50","881.20","890.90","-","9.70","1.10","3,26,398","29.22","958.00","561.05","0.16","51.59"
"M&MFIN","272.50","277.90","271.00","272.55","275.40","-","2.85","1.05","25,43,165","69.88","343.00","246.20","-3.36","1.56"
"HINDOILEXP","207.75","214.60","204.39","207.34","209.50","-","2.16","1.04","7,78,795","16.31","293.55","156.75","-6.34","23.41"
"VENKEYS","1,720.00","1,772.70","1,700.30","1,732.10","1,749.95","-","17.85","1.03","71,488","12.45","2,559.95","1,531.00","-7.54","-14.25"
"SAMHI","190.02","195.92","185.10","187.11","189.00","-","1.89","1.01","26,55,599","50.59","237.85","146.50","-7.73","22.70"
"BRITANNIA","5,682.20","5,792.85","5,641.55","5,688.90","5,745.15","-","56.25","0.99","3,06,281","175.46","6,469.90","4,621.00","-5.74","23.54"
"COFORGE","7,880.00","8,030.00","7,851.80","7,853.35","7,929.15","-","75.80","0.97","5,36,986","427.97","8,030.00","4,287.25","7.81","55.10"
"WIPRO","565.00","578.80","565.00","563.40","568.60","-","5.20","0.92","1,04,26,329","597.27","579.90","377.00","7.13","49.40"
"CIPLA","1,575.10","1,597.75","1,568.70","1,576.15","1,590.55","-","14.40","0.91","17,18,495","272.10","1,702.05","1,164.55","-5.23","28.63"
"SIEMENS","7,088.00","7,227.40","7,009.50","7,073.45","7,138.00","-","64.55","0.91","3,22,837","230.94","8,129.90","3,345.00","-6.55","111.67"
"DHANI","67.71","70.35","64.70","67.71","68.31","-","0.60","0.89","68,77,015","46.41","70.39","33.25","8.68","75.48"
"PGHH","15,559.00","15,869.00","15,500.00","15,456.30","15,592.20","-","135.90","0.88","15,987","24.98","19,250.00","15,345.40","-7.88","-9.70"
"TATAINVEST","6,716.65","6,934.45","6,600.00","6,697.00","6,753.00","-","56.00","0.84","85,090","57.82","9,756.85","3,166.65","3.34","111.59"
"SUNPHARMA","1,799.80","1,815.05","1,790.95","1,790.95","1,804.95","-","14.00","0.78","16,44,075","296.61","1,960.35","1,166.85","-6.28","53.85"
"HONASA","378.95","390.00","372.00","378.95","381.90","-","2.95","0.78","4,04,909","15.34","547.00","256.30","-11.95","26.25"
"TATACONSUM","989.00","997.30","975.40","984.85","992.50","-","7.65","0.78","9,73,252","96.47","1,256.44","887.62","-11.17","9.98"
"BLUEJET","540.25","564.75","533.70","540.45","544.60","-","4.15","0.77","2,49,810","13.77","568.00","319.50","10.06","34.33"
"OFSS","11,410.00","11,749.95","11,410.00","11,423.30","11,510.00","-","86.70","0.76","97,671","113.23","12,619.00","3,930.00","-1.16","183.66"
"KSB","809.30","819.70","801.00","809.30","815.40","-","6.10","0.75","4,94,926","39.94","1,060.00","602.20","-8.35","-73.62"
"INDIACEM","360.10","364.90","353.10","360.25","362.90","-","2.65","0.74","39,07,227","139.79","385.00","172.55","-0.26","69.91"
"BLUESTARCO","1,780.95","1,846.00","1,755.10","1,778.55","1,790.50","-","11.95","0.67","5,23,985","94.73","2,199.55","901.55","-11.02","93.92"
"ABBOTINDIA","28,314.00","28,909.00","28,044.50","28,314.00","28,500.05","-","186.05","0.66","15,470","44.28","30,521.00","22,000.00","-0.31","19.57"
"STAR","1,547.20","1,570.00","1,527.50","1,544.50","1,554.00","-","9.50","0.62","1,96,914","30.50","1,675.00","472.30","2.95","221.43"
"KSL","836.65","843.30","819.90","830.10","835.00","-","4.90","0.59","35,170","2.92","1,083.00","427.30","-0.11","81.03"
"EVEREADY","395.00","398.00","389.75","395.80","398.00","-","2.20","0.56","81,590","3.20","505.00","295.05","-9.13","11.82"
"UNITDSPR","1,441.10","1,455.95","1,432.95","1,438.95","1,446.75","-","7.80","0.54","14,99,108","216.82","1,647.50","1,023.95","-4.91","-"
"JSWSTEEL","994.00","1,001.55","976.50","989.80","995.00","-","5.20","0.53","35,68,198","353.02","1,063.00","745.00","0.19","32.70"
"CAMS","4,662.00","4,785.00","4,655.00","4,662.50","4,661.00","-","23.50","0.51","3,15,855","148.86","4,969.85","2,351.00","5.97","96.69"
"POWERGRID","311.85","317.55","308.70","312.95","314.50","-","1.55","0.50","1,57,40,539","494.76","366.25","205.70","-4.09","50.74"
"BAJAJFINSV","1,739.00","1,743.50","1,717.00","1,729.70","1,738.00","-","8.30","0.48","8,69,560","150.77","2,029.90","1,419.05","-6.81","9.95"
"VAIBHAVGBL","289.05","293.85","284.80","288.05","289.40","-","1.35","0.47","2,70,130","7.83","542.40","262.65","-3.22","-31.55"
"BAJAJ-AUTO","9,856.65","9,991.05","9,777.25","9,856.65","9,902.10","-","45.45","0.46","2,73,163","270.37","12,774.00","5,349.05","-16.14","82.89"
"LAURUSLABS","496.50","507.00","494.15","494.95","497.15","-","2.20","0.44","38,43,439","193.17","518.00","360.85","10.01","35.07"
"TORNTPHARM","3,151.00","3,216.30","3,146.10","3,162.95","3,176.90","-","13.95","0.44","2,39,755","76.50","3,590.70","2,002.10","-10.05","56.00"
"NETWEB","2,850.00","2,980.00","2,782.40","2,834.40","2,846.00","-","11.60","0.41","3,94,375","114.20","2,980.00","765.75","15.87","267.71"
"ENDURANCE","2,455.80","2,476.30","2,397.60","2,425.15","2,435.00","-","9.85","0.41","1,19,573","28.95","3,061.30","1,572.35","4.60","49.44"
"MANYAVAR","1,405.95","1,475.00","1,391.00","1,394.35","1,400.00","-","5.65","0.41","4,63,950","66.58","1,487.90","886.05","5.27","5.02"
"LTIM","5,899.00","5,993.00","5,889.20","5,886.00","5,907.00","-","21.00","0.36","1,69,926","101.07","6,574.95","4,513.55","-7.97","12.79"
"HCLTECH","1,838.95","1,854.15","1,828.05","1,831.95","1,838.00","-","6.05","0.33","15,21,324","279.99","1,888.50","1,235.00","1.54","44.97"
"HDFCBANK","1,752.00","1,761.80","1,745.85","1,746.55","1,751.90","-","5.35","0.31","99,51,493","1,746.10","1,794.00","1,363.55","7.43","18.09"
"TVSSCS","188.80","189.29","181.25","188.36","188.89","-","0.53","0.28","3,18,519","5.96","220.20","145.00","-3.81","-12.57"
"WHIRLPOOL","2,074.60","2,080.90","2,032.00","2,074.60","2,080.00","-","5.40","0.26","65,190","13.42","2,449.70","1,186.10","-13.01","29.77"
"SHILPAMED","849.00","878.00","816.05","844.05","846.00","-","1.95","0.23","2,15,521","18.20","959.50","313.15","3.05","138.46"
"KOLTEPATIL","372.85","376.30","366.15","372.20","373.00","-","0.80","0.21","1,26,866","4.71","585.00","345.00","-2.79","-24.02"
"MPHASIS","2,862.60","2,883.95","2,839.15","2,839.15","2,845.15","-","6.00","0.21","8,15,466","233.38","3,187.80","2,144.10","-1.41","30.30"
"JKCEMENT","4,073.80","4,100.00","4,053.95","4,073.80","4,081.80","-","8.00","0.20","1,08,642","44.35","4,895.50","3,356.55","-5.75","20.38"
"NEULANDLAB","13,849.50","14,045.10","13,710.00","13,779.30","13,806.00","-","26.70","0.19","24,457","33.77","16,524.95","4,718.00","16.83","162.18"
"ITC","477.90","480.70","474.60","477.90","478.80","-","0.90","0.19","60,90,462","290.99","528.50","399.35","-2.78","10.05"
