ExchangeInstrumentID,ExchangeSegment,DisplayName,Name
35005,1,1,NIFTY
35006,1,1,NIFTY
35004,1,1,MIDCPNIFTY
35007,1,1,MIDCPNIFTY
35426,1,1,FINNIFTY
35239,1,1,FINNIFTY
35025,1,1,BANKNIFTY
35012,1,1,BANKNIFTY
50812,2,NIFTY 26DEC2024 CE 32000,NIFTY
64594,2,NIFTY 27MAR2025 CE 32000,NIFTY
50854,2,NIFTY 26JUN2025 CE 32000,NIFTY
64708,2,NIFTY 25SEP2025 CE 32000,NIFTY
50853,2,NIFTY 26DEC2024 PE 32000,NIFTY
64595,2,NIFTY 27MAR2025 PE 32000,NIFTY
50855,2,NIFTY 26JUN2025 PE 32000,NIFTY
64709,2,NIFTY 25SEP2025 PE 32000,NIFTY
47176,2,NIFTY 26DEC2024 CE 33000,NIFTY
47178,2,NIFTY 27MAR2025 CE 33000,NIFTY
47181,2,NIFTY 26JUN2025 CE 33000,NIFTY
64710,2,NIFTY 25SEP2025 CE 33000,NIFTY
47177,2,NIFTY 26DEC2024 PE 33000,NIFTY
47179,2,NIFTY 27MAR2025 PE 33000,NIFTY
47182,2,NIFTY 26JUN2025 PE 33000,NIFTY
64711,2,NIFTY 25SEP2025 PE 33000,NIFTY
45755,2,NIFTY 26DEC2024 CE 37000,NIFTY
45790,2,NIFTY 27MAR2025 CE 37000,NIFTY
45831,2,NIFTY 26JUN2025 CE 37000,NIFTY
64763,2,NIFTY 25SEP2025 CE 37000,NIFTY
45759,2,NIFTY 26DEC2024 PE 37000,NIFTY
45791,2,NIFTY 27MAR2025 PE 37000,NIFTY
45835,2,NIFTY 26JUN2025 PE 37000,NIFTY
64764,2,NIFTY 25SEP2025 PE 37000,NIFTY
45750,2,NIFTY 26DEC2024 CE 36000,NIFTY
45783,2,NIFTY 27MAR2025 CE 36000,NIFTY
45829,2,NIFTY 26JUN2025 CE 36000,NIFTY
64755,2,NIFTY 25SEP2025 CE 36000,NIFTY
45754,2,NIFTY 26DEC2024 PE 36000,NIFTY
45789,2,NIFTY 27MAR2025 PE 36000,NIFTY
45830,2,NIFTY 26JUN2025 PE 36000,NIFTY
64756,2,NIFTY 25SEP2025 PE 36000,NIFTY
45744,2,NIFTY 26DEC2024 CE 34000,NIFTY
45774,2,NIFTY 27MAR2025 CE 34000,NIFTY
45806,2,NIFTY 26JUN2025 CE 34000,NIFTY
64737,2,NIFTY 25SEP2025 CE 34000,NIFTY
45745,2,NIFTY 26DEC2024 PE 34000,NIFTY
45776,2,NIFTY 27MAR2025 PE 34000,NIFTY
45809,2,NIFTY 26JUN2025 PE 34000,NIFTY
64738,2,NIFTY 25SEP2025 PE 34000,NIFTY
45746,2,NIFTY 26DEC2024 CE 35000,NIFTY
45777,2,NIFTY 27MAR2025 CE 35000,NIFTY
45810,2,NIFTY 26JUN2025 CE 35000,NIFTY
64739,2,NIFTY 25SEP2025 CE 35000,NIFTY
45747,2,NIFTY 26DEC2024 PE 35000,NIFTY
45779,2,NIFTY 27MAR2025 PE 35000,NIFTY
45828,2,NIFTY 26JUN2025 PE 35000,NIFTY
64754,2,NIFTY 25SEP2025 PE 35000,NIFTY
46992,2,BANKNIFTY 24DEC2024 CE 57600,BANKNIFTY
40009,2,BANKNIFTY 29JAN2025 CE 57600,BANKNIFTY
46994,2,BANKNIFTY 24DEC2024 PE 57600,BANKNIFTY
40010,2,BANKNIFTY 29JAN2025 PE 57600,BANKNIFTY
46813,2,BANKNIFTY 24DEC2024 CE 54400,BANKNIFTY
39659,2,BANKNIFTY 29JAN2025 CE 54400,BANKNIFTY
46814,2,BANKNIFTY 24DEC2024 PE 54400,BANKNIFTY
39660,2,BANKNIFTY 29JAN2025 PE 54400,BANKNIFTY
46787,2,BANKNIFTY 24DEC2024 CE 53600,BANKNIFTY
39625,2,BANKNIFTY 29JAN2025 CE 53600,BANKNIFTY
46788,2,BANKNIFTY 24DEC2024 PE 53600,BANKNIFTY
39626,2,BANKNIFTY 29JAN2025 PE 53600,BANKNIFTY
46774,2,BANKNIFTY 24DEC2024 CE 53300,BANKNIFTY
39615,2,BANKNIFTY 29JAN2025 CE 53300,BANKNIFTY
46775,2,BANKNIFTY 24DEC2024 PE 53300,BANKNIFTY
39616,2,BANKNIFTY 29JAN2025 PE 53300,BANKNIFTY
46795,2,BANKNIFTY 24DEC2024 CE 53900,BANKNIFTY
39634,2,BANKNIFTY 29JAN2025 CE 53900,BANKNIFTY
46796,2,BANKNIFTY 24DEC2024 PE 53900,BANKNIFTY
39639,2,BANKNIFTY 29JAN2025 PE 53900,BANKNIFTY
46748,2,BANKNIFTY 24DEC2024 CE 52600,BANKNIFTY
39573,2,BANKNIFTY 29JAN2025 CE 52600,BANKNIFTY
46749,2,BANKNIFTY 24DEC2024 PE 52600,BANKNIFTY
39574,2,BANKNIFTY 29JAN2025 PE 52600,BANKNIFTY
46953,2,BANKNIFTY 24DEC2024 CE 56800,BANKNIFTY
39765,2,BANKNIFTY 29JAN2025 CE 56800,BANKNIFTY
46958,2,BANKNIFTY 24DEC2024 PE 56800,BANKNIFTY
39766,2,BANKNIFTY 29JAN2025 PE 56800,BANKNIFTY
46791,2,BANKNIFTY 24DEC2024 CE 53800,BANKNIFTY
39629,2,BANKNIFTY 29JAN2025 CE 53800,BANKNIFTY
46794,2,BANKNIFTY 24DEC2024 PE 53800,BANKNIFTY
39633,2,BANKNIFTY 29JAN2025 PE 53800,BANKNIFTY
67069,2,BANKNIFTY 24DEC2024 CE 51000,BANKNIFTY
39532,2,BANKNIFTY 29JAN2025 CE 51000,BANKNIFTY
67070,2,BANKNIFTY 24DEC2024 PE 51000,BANKNIFTY
39533,2,BANKNIFTY 29JAN2025 PE 51000,BANKNIFTY
43557,2,BANKNIFTY 24DEC2024 CE 50400,BANKNIFTY
39520,2,BANKNIFTY 29JAN2025 CE 50400,BANKNIFTY
43558,2,BANKNIFTY 24DEC2024 PE 50400,BANKNIFTY
39521,2,BANKNIFTY 29JAN2025 PE 50400,BANKNIFTY
