,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator
0,BSEFO,839995,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100839995,3923.6,-2354.15,500,0.05,20,1,-1,,2025-01-10T00:00:00,SENSEX 10JAN07FEB SPD,1,1,SENSEX25JAN25FEBFUT
1,BSEFO,824340,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100824340,3923.6,-2354.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN17JAN SPD,1,1,SENSEX25JAN25JANFUT
2,BSEFO,823344,4,BANKEX,BANKEX25JAN25FEBFUT,IF,BANKEX-IF,12100100823344,2909.9,-1745.95,600,0.05,15,1,-1,,2025-01-27T00:00:00,BANKEX 27JAN24FEB SPD,1,1,BANKEX25JAN25FEBFUT
3,BSEFO,825741,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100825741,3923.6,-2354.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN24JAN SPD,1,1,SENSEX25JAN25JANFUT
4,BSEFO,822614,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100822614,3923.6,-2354.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN10JAN SPD,1,1,SENSEX25JAN25JANFUT
5,BSEFO,839991,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100839991,3923.6,-2354.15,500,0.05,20,1,-1,,2025-01-17T00:00:00,SENSEX 17JAN07FEB SPD,1,1,SENSEX25JAN25FEBFUT
6,BSEFO,1166175,4,SENSEX50,SENSEX5024DEC25JANFUT,IF,SENSEX50-IF,12100101166175,1247.55,-748.5,1800,0.05,25,1,-1,,2024-12-26T00:00:00,SENSEX50 26DEC30JAN SPD,1,1,SENSEX5024DEC25JANFUT
7,BSEFO,823939,4,SENSEX50,SENSEX5025JAN25FEBFUT,IF,SENSEX50-IF,12100100823939,1247.55,-748.5,1800,0.05,25,1,-1,,2025-01-30T00:00:00,SENSEX50 30JAN27FEB SPD,1,1,SENSEX5025JAN25FEBFUT
8,BSEFO,824337,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100824337,3923.6,-2354.15,500,0.05,10,1,-1,,2025-01-31T00:00:00,SENSEX 31JAN28FEB SPD,1,1,SENSEX25JAN25FEBFUT
9,BSEFO,824329,4,SENSEX,SENSEX24DEC25JANFUT,IF,SENSEX-IF,12100100824329,3923.6,-2354.15,500,0.05,10,1,-1,,2024-12-27T00:00:00,SENSEX 27DEC17JAN SPD,1,1,SENSEX24DEC25JANFUT
10,BSEFO,825740,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100825740,3923.6,-2354.15,500,0.05,20,1,-1,,2025-01-10T00:00:00,SENSEX 10JAN24JAN SPD,1,1,SENSEX25JAN25JANFUT
11,BSEFO,825742,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100825742,3923.6,-2354.15,500,0.05,20,1,-1,,2025-01-17T00:00:00,SENSEX 17JAN24JAN SPD,1,1,SENSEX25JAN25JANFUT
