CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKATGL30-JAN-2025,659.6500000,659.6000000,670.9500000,653.1000000,657.0500000,657.0500000,-0.3900000,2570.0000000,1536050.0000000,1982.0000000,1017183431.2500000
FUTSTKHEROMOTOCO27-FEB-2025,4313.0000000,4311.0000000,4356.2000000,4295.1500000,4302.4500000,4302.4500000,-0.2400000,609.0000000,25500.0000000,170.0000000,110115697.5000000
FUTSTKJKCEMENT27-FEB-2025,4641.8500000,0.0000000,0.0000000,0.0000000,,4618.9500000,-0.4900000,2.0000000,0.0000000,0.0000000,0.0000000
FUTSTKABCAPITAL27-FEB-2025,189.3500000,188.9300000,191.1900000,187.2000000,189.0400000,189.0400000,-0.1600000,356.0000000,661500.0000000,245.0000000,125315019.0000000
FUTSTKTORNTPHARM27-FEB-2025,3462.3500000,3438.6000000,3438.6000000,3410.5500000,3410.5500000,3440.6000000,-0.6200000,9.0000000,500.0000000,2.0000000,1712287.5000000
FUTSTKBAJAJFINSV30-JAN-2025,1576.7000000,1586.7000000,1586.7000000,1566.7000000,1572.6500000,1572.6500000,-0.2500000,23784.0000000,4239000.0000000,8478.0000000,6678465575.0000000
FUTSTKSIEMENS27-FEB-2025,6895.0000000,6881.7500000,6881.7500000,6675.0000000,6745.7000000,6745.7000000,-2.1600000,267.0000000,12750.0000000,170.0000000,85869082.5000000
FUTSTKDABUR27-FEB-2025,515.0500000,518.5000000,521.4500000,513.9000000,514.3000000,514.3000000,-0.1400000,425.0000000,235000.0000000,188.0000000,121726062.5000000
FUTSTKADANIENT27-FEB-2025,2376.8500000,2383.0000000,2445.0000000,2381.4500000,2408.6500000,2408.6500000,1.3300000,372.0000000,54900.0000000,183.0000000,133098420.0000000
FUTSTKIRFC30-JAN-2025,144.0500000,143.5700000,145.7700000,141.6100000,142.8000000,142.8000000,-0.8600000,10327.0000000,16179750.0000000,4590.0000000,2326929768.0000000
FUTSTKNATIONALUM30-JAN-2025,219.0500000,219.5300000,219.5300000,214.0900000,215.2200000,215.2200000,-1.7400000,10354.0000000,26036250.0000000,6943.0000000,5629411387.5000000
FUTSTKCROMPTON27-FEB-2025,395.3500000,400.9500000,401.0000000,399.0000000,400.0000000,399.6500000,1.0800000,40.0000000,19800.0000000,11.0000000,7923330.0000000
