CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKBAJAJFINSV30-JAN-2025,1587.2000000,1603.4500000,1625.9500000,1595.9000000,1623.4000000,1623.4000000,2.2800000,164.0000000,60500.0000000,121.0000000,97806375.0000000
FUTIDXFINNIFTY26-NOV-2024,23283.5500000,23304.2500000,23657.9500000,23304.2500000,23583.3500000,23583.3500000,1.2800000,2865.0000000,54350.0000000,2174.0000000,1278654141.2500000
FUTSTKNATIONALUM30-JAN-2025,246.4400000,249.3300000,255.9500000,249.3300000,253.4600000,253.4600000,2.8400000,148.0000000,26250.0000000,7.0000000,6667275.0000000
FUTSTKPFC28-NOV-2024,449.3500000,455.0000000,475.4000000,450.7000000,473.6500000,473.6500000,5.4000000,40131.0000000,24761100.0000000,19047.0000000,11584126840.0000000
FUTSTKFEDERALBNK30-JAN-2025,212.6600000,213.0100000,213.2900000,210.3100000,212.1700009,212.1700009,-0.2300000,186.0000000,380000.0000000,76.0000000,80509900.0000000
FUTSTKBANKBARODA28-NOV-2024,228.2000000,229.5000000,237.6000000,229.0000000,235.6500000,235.6500000,3.2600000,52598.0000000,30694950.0000000,10494.0000000,7220181588.7500000
FUTSTKSBIN30-JAN-2025,789.9000000,795.0000000,828.6500000,794.5000000,824.4500000,824.4500000,4.3700000,1712.0000000,738750.0000000,985.0000000,602382375.0000000
FUTSTKIPCALAB30-JAN-2025,1594.0500000,0.0000000,0.0000000,0.0000000,,1611.8000000,1.1100000,3.0000000,0.0000000,0.0000000,0.0000000
FUTSTKIOC28-NOV-2024,130.9000000,131.8300000,133.2100000,130.7400000,132.6700000,132.6700000,1.3500000,26092.0000000,21474375.0000000,4405.0000000,2836780293.7500000
FUTSTKDLF26-DEC-2024,779.3500000,782.3000000,814.0000000,780.1000000,807.0000000,807.0000000,3.5400000,6903.0000000,4106025.0000000,4977.0000000,3306614808.7500000
FUTSTKSHRIRAMFIN28-NOV-2024,2800.9000000,2757.4000000,2863.9000000,2751.7000000,2845.4000000,2845.4000000,1.5800000,53070.0000000,1795350.0000000,11969.0000000,5086160145.0000000
FUTSTKIRCTC30-JAN-2025,803.5000000,803.4000000,821.0000000,802.0000000,818.0000000,818.0000000,1.8000000,203.0000000,70000.0000000,80.0000000,57073493.7500000
FUTSTKUNITDSPR30-JAN-2025,1508.5500000,1517.3500000,1520.1500000,1509.8000000,1515.3500000,1515.3500000,0.4500000,50.0000000,6650.0000000,19.0000000,10081977.5000000
FUTSTKTATACHEM28-NOV-2024,1047.5500000,1049.7000000,1074.4500000,1045.0000000,1071.1000000,1071.1000000,2.2400000,12358.0000000,1624700.0000000,2954.0000000,1727450340.0000000
FUTSTKCUMMINSIND30-JAN-2025,3311.8500000,3335.2500000,3378.6000000,3332.5000000,3369.0500000,3369.0500000,1.7200000,85.0000000,3900.0000000,26.0000000,13122015.0000000
FUTSTKESCORTS30-JAN-2025,3499.3500000,3575.0500000,3575.0500000,3575.0500000,3575.0500000,3555.5500000,1.6000000,16.0000000,150.0000000,1.0000000,536257.5000000
