OrderType,OrderSide,exchangeInstrumentID,OrderPrice,OrderQuantity,OrderUniqueIdentifier,LoginID,ClientID,AppOrderID,OrderReferenceID,GeneratedBy,ExchangeOrderID,OrderCategoryType,ExchangeSegment,ExchangeInstrumentID,ProductType,TimeInForce,OrderStopPrice,OrderDisclosedQuantity,OrderGeneratedDateTime,LastUpdateDateTime,OrderExpiryDate,CancelRejectReason,OrderLegStatus,IsSpread,BoLegDetails,BoEntryOrderId,MessageCode,MessageVersion,TokenID,ApplicationType,SequenceNumber,OrderStatus,OrderAverageTradedPrice,LeavesQuantity,CumulativeQuantity,exchangeSegment,productType,orderType,timeInForce,disclosedQuantity,limitPrice,stopPrice
LIMIT,sell,39562,1403.55,15,nifty_straddleleg1,XTS,SYMP1,1735295100408,,TWSAPI,EXCHANGE1735295100408,NORMAL,NSECM,39562.0,NRML,DAY,0.0,0.0,27-12-2024 15:55:00,27-12-2024 15:55:00,01-01-1980 00:00:00,,SingleOrderLeg,False,0.0,,9004.0,4.0,0.0,0.0,0.0,Filled,1403.55,0.0,15.0,,,,,,,
LIMIT,sell,39562,1403.55,15,nifty_straddleleg2,XTS,SYMP1,1735295100494,,TWSAPI,EXCHANGE1735295100494,NORMAL,NSECM,39562.0,NRML,DAY,0.0,0.0,27-12-2024 15:55:00,27-12-2024 15:55:00,01-01-1980 00:00:00,,SingleOrderLeg,False,0.0,,9004.0,4.0,0.0,0.0,0.0,Filled,1403.55,0.0,15.0,,,,,,,
StopLimit,BUY,39562,1756.44,15,nifty_straddleleg1_sl,,,APP1735295100505,,,,,,,,,1754.44,,27-12-2024 15:55:00,27-12-2024 15:55:00,,,,,,,,,,,,New,,,,,,,,,,
StopLimit,BUY,39562,1756.44,15,nifty_straddleleg2_sl,,,APP1735295100514,,,,,,,,,1754.44,,27-12-2024 15:55:00,27-12-2024 15:55:00,,,,,,,,,,,,New,,,,,,,,,,
,SELL,39562,1387.5,15,nifty_straddleleg1_squareoff,,,APP1735295118624,,,,,,,,,,,,27-12-2024 15:55:18,,,,,,,,,,,,Filled,1387.5,,,NSEFO,NRML,MARKET,DAY,0.0,0.0,0.0
,SELL,39562,1387.5,15,nifty_straddleleg2_squareoff,,,APP1735295122686,,,,,,,,,,,,27-12-2024 15:55:22,,,,,,,,,,,,Filled,1387.5,,,NSEFO,NRML,MARKET,DAY,0.0,0.0,0.0
,SELL,39562,1387.5,15,nifty_straddleleg1_squareoff,,,APP1735295126752,,,,,,,,,,,,27-12-2024 15:55:26,,,,,,,,,,,,Filled,1387.5,,,NSEFO,NRML,MARKET,DAY,0.0,0.0,0.0
,BUY,39562,1387.5,15,nifty_straddleleg1_squareoff,,,APP1735295126775,,,,,,,,,,,,27-12-2024 15:55:26,,,,,,,,,,,,Filled,1387.5,,,NSEFO,NRML,MARKET,DAY,0.0,0.0,0.0
,SELL,39562,1387.5,15,nifty_straddleleg2_squareoff,,,APP1735295130847,,,,,,,,,,,,27-12-2024 15:55:30,,,,,,,,,,,,Filled,1387.5,,,NSEFO,NRML,MARKET,DAY,0.0,0.0,0.0
,BUY,39562,1387.5,15,nifty_straddleleg2_squareoff,,,APP1735295130941,,,,,,,,,,,,27-12-2024 15:55:30,,,,,,,,,,,,Filled,1387.5,,,NSEFO,NRML,MARKET,DAY,0.0,0.0,0.0
LIMIT,sell,39562,1284.0,15,nifty_straddleleg1,XTS,SYMP1,1735304263712,,TWSAPI,EXCHANGE1735304263712,NORMAL,NSECM,39562.0,NRML,DAY,0.0,0.0,27-12-2024 18:27:43,27-12-2024 18:27:43,01-01-1980 00:00:00,,SingleOrderLeg,False,0.0,,9004.0,4.0,0.0,0.0,0.0,Filled,1284.0,0.0,15.0,,,,,,,
